PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
6503.00,3606.00,UA,United Air Lines Inc.,UA,11618,EWR,13156,MAD,2023,3
6504.00,3193.00,UA,United Air Lines Inc.,UA,11618,EWR,11435,DUB,2023,3
6507.00,5677.00,AA,American Airlines Inc.,AA,12478,JFK,15258,TLV,2023,2
6512.00,6428.00,DL,Delta Air Lines Inc.,DL,12169,HND,11433,DTW,2023,1
6515.00,1546.00,AA,American Airlines Inc.,AA,13180,MBJ,11298,DFW,2023,1
6515.00,7153.00,DL,Delta Air Lines Inc.,DL,10397,ATL,12277,ICN,2023,3
6518.00,1237.00,F9,Frontier Airlines Inc.,F9,15016,STL,11032,CUN,2023,3
6528.00,3892.00,UA,United Air Lines Inc.,UA,12264,IAD,10752,BRU,2023,2
6529.00,5286.00,AA,American Airlines Inc.,AA,11298,DFW,11625,EZE,2023,1
6534.00,7416.00,UA,United Air Lines Inc.,UA,14771,SFO,15092,SYD,2023,3
6534.00,8433.00,DL,Delta Air Lines Inc.,DL,10397,ATL,12520,JNB,2023,3
6538.00,1233.00,AA,American Airlines Inc.,AA,13303,MIA,16271,YYZ,2023,2
6542.00,3180.00,DL,Delta Air Lines Inc.,DL,12478,JFK,11435,DUB,2023,3
6551.00,3650.00,UA,United Air Lines Inc.,UA,11618,EWR,10920,CDG,2023,2
6552.00,3457.00,DL,Delta Air Lines Inc.,DL,10292,AMS,10721,BOS,2023,1
6552.00,7487.00,AA,American Airlines Inc.,AA,15092,SYD,12892,LAX,2023,1
6560.00,4965.00,AA,American Airlines Inc.,AA,11298,DFW,13156,MAD,2023,3
6562.00,436.00,OO,SkyWest Airlines Inc.,OO,16271,YYZ,13930,ORD,2023,3
6564.00,7487.00,AA,American Airlines Inc.,AA,12892,LAX,15092,SYD,2023,2
6571.00,965.00,UA,United Air Lines Inc.,UA,10846,BZE,12266,IAH,2023,1
6571.00,3273.00,AA,American Airlines Inc.,AA,14100,PHL,11435,DUB,2023,3
6576.00,3385.00,UA,United Air Lines Inc.,UA,12991,LIS,11618,EWR,2023,1
6577.00,1096.00,AA,American Airlines Inc.,AA,11868,GCM,11057,CLT,2023,1
6580.00,6636.00,DL,Delta Air Lines Inc.,DL,11433,DTW,12277,ICN,2023,1
6582.00,5677.00,AA,American Airlines Inc.,AA,12478,JFK,15258,TLV,2023,3
6589.00,4745.00,DL,Delta Air Lines Inc.,DL,11988,GRU,12478,JFK,2023,1
6604.00,5282.00,AA,American Airlines Inc.,AA,11625,EZE,12478,JFK,2023,2
6605.00,6703.00,AA,American Airlines Inc.,AA,11369,DOH,12478,JFK,2023,2
6609.00,3681.00,AA,American Airlines Inc.,AA,14100,PHL,13156,MAD,2023,3
6611.00,4263.00,UA,United Air Lines Inc.,UA,12264,IAD,13518,MUC,2023,3
6617.00,4965.00,AA,American Airlines Inc.,AA,13156,MAD,11298,DFW,2023,3
6625.00,366.00,9E,Endeavor Air Inc.,9E,16271,YYZ,12478,JFK,2023,3
6629.00,4803.00,DL,Delta Air Lines Inc.,DL,14747,SEA,12169,HND,2023,1
6634.00,5039.00,UA,United Air Lines Inc.,UA,11760,FRA,11292,DEN,2023,3
6634.00,5231.00,UA,United Air Lines Inc.,UA,12266,IAH,11760,FRA,2023,1
6643.00,746.00,AA,American Airlines Inc.,AA,14207,POP,13303,MIA,2023,1
6649.00,1444.00,F9,Frontier Airlines Inc.,F9,11032,CUN,13930,ORD,2023,3
6653.00,3819.00,HA,Hawaiian Airlines Inc.,HA,12173,HNL,13744,NRT,2023,3
6655.00,1237.00,F9,Frontier Airlines Inc.,F9,11032,CUN,15016,STL,2023,3
6656.00,1957.00,UA,United Air Lines Inc.,UA,11618,EWR,10411,AUA,2023,1
6658.00,5012.00,UA,United Air Lines Inc.,UA,12266,IAH,10292,AMS,2023,3
6664.00,1480.00,AA,American Airlines Inc.,AA,14100,PHL,13180,MBJ,2023,1
6664.00,4886.00,DL,Delta Air Lines Inc.,DL,14747,SEA,10292,AMS,2023,1
