PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
5521.00,2086.00,B6,JetBlue Airways,B6,12478,JFK,10575,BGI,2023,2
5525.00,2078.00,AS,Alaska Airlines Inc.,AS,14747,SEA,14312,PVR,2023,3
5528.00,4735.00,DL,Delta Air Lines Inc.,DL,11915,GIG,10397,ATL,2023,1
5529.00,1587.00,DL,Delta Air Lines Inc.,DL,12990,LIR,10397,ATL,2023,2
5530.00,3606.00,UA,United Air Lines Inc.,UA,13156,MAD,11618,EWR,2023,1
5532.00,5222.00,UA,United Air Lines Inc.,UA,11988,GRU,13930,ORD,2023,2
5533.00,6603.00,AA,American Airlines Inc.,AA,15258,TLV,13303,MIA,2023,1
5534.00,8587.00,UA,United Air Lines Inc.,UA,15092,SYD,12266,IAH,2023,3
5539.00,3995.00,AA,American Airlines Inc.,AA,13560,MXP,12478,JFK,2023,1
5541.00,4278.00,DL,Delta Air Lines Inc.,DL,11651,FCO,12478,JFK,2023,2
5541.00,5012.00,UA,United Air Lines Inc.,UA,10292,AMS,12266,IAH,2023,3
5542.00,6151.00,UA,United Air Lines Inc.,UA,14309,PVG,14771,SFO,2023,3
5544.00,6603.00,AA,American Airlines Inc.,AA,13303,MIA,15258,TLV,2023,2
5547.00,3766.00,DL,Delta Air Lines Inc.,DL,12972,LHR,11433,DTW,2023,3
